classlabel	activity	subject	feature	measurement
5	STANDING	16	TimeBodyAccelerometerMean-X	0.283497402948718
5	STANDING	17	TimeBodyAccelerometerMean-X	0.277942503333333
5	STANDING	19	TimeBodyAccelerometerMean-X	0.27817226
5	STANDING	21	TimeBodyAccelerometerMean-X	0.27695224258427
5	STANDING	22	TimeBodyAccelerometerMean-X	0.279053861587301
5	STANDING	23	TimeBodyAccelerometerMean-X	0.277899323235294
5	STANDING	25	TimeBodyAccelerometerMean-X	0.278013701621622
5	STANDING	26	TimeBodyAccelerometerMean-X	0.281127035405405
5	STANDING	27	TimeBodyAccelerometerMean-X	0.279566921625
5	STANDING	28	TimeBodyAccelerometerMean-X	0.277795069113924
5	STANDING	29	TimeBodyAccelerometerMean-X	0.277965065846154
5	STANDING	30	TimeBodyAccelerometerMean-X	0.277112699152542
5	STANDING	2	TimeBodyAccelerometerMean-X	0.277911472222222
5	STANDING	4	TimeBodyAccelerometerMean-X	0.280499745892857
5	STANDING	9	TimeBodyAccelerometerMean-X	0.282310057333333
5	STANDING	10	TimeBodyAccelerometerMean-X	0.276650300681818
5	STANDING	12	TimeBodyAccelerometerMean-X	0.277405834918033
5	STANDING	13	TimeBodyAccelerometerMean-X	0.277758431052632
5	STANDING	18	TimeBodyAccelerometerMean-X	0.278458805890411
5	STANDING	20	TimeBodyAccelerometerMean-X	0.278076904657534
5	STANDING	24	TimeBodyAccelerometerMean-X	0.280348883913043
6	LAYING	1	TimeBodyAccelerometerMean-X	0.22159824394
6	LAYING	3	TimeBodyAccelerometerMean-X	0.275516852741936
6	LAYING	5	TimeBodyAccelerometerMean-X	0.278334325576923
6	LAYING	6	TimeBodyAccelerometerMean-X	0.248656520140351
6	LAYING	7	TimeBodyAccelerometerMean-X	0.250176694038462
6	LAYING	8	TimeBodyAccelerometerMean-X	0.261254282907407
6	LAYING	11	TimeBodyAccelerometerMean-X	0.280592970877193
6	LAYING	14	TimeBodyAccelerometerMean-X	0.233275439803922
6	LAYING	15	TimeBodyAccelerometerMean-X	0.2894756525
6	LAYING	16	TimeBodyAccelerometerMean-X	0.274227162571429
6	LAYING	17	TimeBodyAccelerometerMean-X	0.269780085577465
6	LAYING	19	TimeBodyAccelerometerMean-X	0.272653733493976
6	LAYING	21	TimeBodyAccelerometerMean-X	0.271325472455556
6	LAYING	22	TimeBodyAccelerometerMean-X	0.279959721194444
6	LAYING	23	TimeBodyAccelerometerMean-X	0.274038007986111
6	LAYING	25	TimeBodyAccelerometerMean-X	0.250791828613699
6	LAYING	26	TimeBodyAccelerometerMean-X	0.27164586454079
6	LAYING	27	TimeBodyAccelerometerMean-X	0.274102492432432
6	LAYING	28	TimeBodyAccelerometerMean-X	0.2759134825
6	LAYING	29	TimeBodyAccelerometerMean-X	0.287295196811594
6	LAYING	30	TimeBodyAccelerometerMean-X	0.281033900571429
6	LAYING	2	TimeBodyAccelerometerMean-X	0.281373403958333
6	LAYING	4	TimeBodyAccelerometerMean-X	0.263559214981481
6	LAYING	9	TimeBodyAccelerometerMean-X	0.2591955368
6	LAYING	10	TimeBodyAccelerometerMean-X	0.280230574137931
6	LAYING	12	TimeBodyAccelerometerMean-X	0.260113433
6	LAYING	13	TimeBodyAccelerometerMean-X	0.276716360483871
6	LAYING	18	TimeBodyAccelerometerMean-X	0.274691576923077
6	LAYING	20	TimeBodyAccelerometerMean-X	0.239507882205882
6	LAYING	24	TimeBodyAccelerometerMean-X	0.272850494930556
1	WALKING	1	TimeBodyAccelerometerMean-Y	-0.0173838185273684
1	WALKING	3	TimeBodyAccelerometerMean-Y	-0.0171767844203448
1	WALKING	5	TimeBodyAccelerometerMean-Y	-0.0172850317482679
1	WALKING	6	TimeBodyAccelerometerMean-Y	-0.0168954189082456
1	WALKING	7	TimeBodyAccelerometerMean-Y	-0.018653665345614
1	WALKING	8	TimeBodyAccelerometerMean-Y	-0.0186628865310417
1	WALKING	11	TimeBodyAccelerometerMean-Y	-0.0166475833623729
1	WALKING	14	TimeBodyAccelerometerMean-Y	-0.0217785380966102
1	WALKING	15	TimeBodyAccelerometerMean-Y	-0.0170809740090741
1	WALKING	16	TimeBodyAccelerometerMean-Y	-0.0204286929452941
1	WALKING	17	TimeBodyAccelerometerMean-Y	-0.0184875403339344
1	WALKING	19	TimeBodyAccelerometerMean-Y	-0.0191773587903846
1	WALKING	21	TimeBodyAccelerometerMean-Y	-0.0181610317526923
1	WALKING	22	TimeBodyAccelerometerMean-Y	-0.0167213607957174
1	WALKING	23	TimeBodyAccelerometerMean-Y	-0.0183618711932203
1	WALKING	25	TimeBodyAccelerometerMean-Y	-0.0186477624716216
1	WALKING	26	TimeBodyAccelerometerMean-Y	-0.0154259586949153
1	WALKING	27	TimeBodyAccelerometerMean-Y	-0.0166478783221912
1	WALKING	28	TimeBodyAccelerometerMean-Y	-0.0156759722981482
1	WALKING	29	TimeBodyAccelerometerMean-Y	-0.0162915600588679
1	WALKING	30	TimeBodyAccelerometerMean-Y	-0.0175880385730769
1	WALKING	2	TimeBodyAccelerometerMean-Y	-0.0185949199145763
1	WALKING	4	TimeBodyAccelerometerMean-Y	-0.0148399475341667
1	WALKING	9	TimeBodyAccelerometerMean-Y	-0.0180891971284423
1	WALKING	10	TimeBodyAccelerometerMean-Y	-0.017022351190566
1	WALKING	12	TimeBodyAccelerometerMean-Y	-0.015560927606
1	WALKING	13	TimeBodyAccelerometerMean-Y	-0.0185660651947368
1	WALKING	18	TimeBodyAccelerometerMean-Y	-0.0178023631866071
1	WALKING	20	TimeBodyAccelerometerMean-Y	-0.021199992245098
1	WALKING	24	TimeBodyAccelerometerMean-Y	-0.0225446400534483
2	WALKING_UPSTAIRS	1	TimeBodyAccelerometerMean-Y	-0.0239531492643396
2	WALKING_UPSTAIRS	3	TimeBodyAccelerometerMean-Y	-0.0324109410555932
2	WALKING_UPSTAIRS	5	TimeBodyAccelerometerMean-Y	-0.0325269755153192
2	WALKING_UPSTAIRS	6	TimeBodyAccelerometerMean-Y	-0.0272425385070588
2	WALKING_UPSTAIRS	7	TimeBodyAccelerometerMean-Y	-0.0275639005607843
2	WALKING_UPSTAIRS	8	TimeBodyAccelerometerMean-Y	-0.0282415136341463
2	WALKING_UPSTAIRS	11	TimeBodyAccelerometerMean-Y	-0.0303157822055556
2	WALKING_UPSTAIRS	14	TimeBodyAccelerometerMean-Y	-0.0204388180024074
2	WALKING_UPSTAIRS	15	TimeBodyAccelerometerMean-Y	-0.0287523860708333
2	WALKING_UPSTAIRS	16	TimeBodyAccelerometerMean-Y	-0.0143654945011765
2	WALKING_UPSTAIRS	17	TimeBodyAccelerometerMean-Y	-0.0228645614308333
2	WALKING_UPSTAIRS	19	TimeBodyAccelerometerMean-Y	-0.0303986615775
2	WALKING_UPSTAIRS	21	TimeBodyAccelerometerMean-Y	-0.0237218695148936
2	WALKING_UPSTAIRS	22	TimeBodyAccelerometerMean-Y	-0.0268622561133333
2	WALKING_UPSTAIRS	23	TimeBodyAccelerometerMean-Y	-0.0323844029237255
2	WALKING_UPSTAIRS	25	TimeBodyAccelerometerMean-Y	-0.0269863524264615
2	WALKING_UPSTAIRS	26	TimeBodyAccelerometerMean-Y	-0.0281633797398182
2	WALKING_UPSTAIRS	27	TimeBodyAccelerometerMean-Y	-0.0200953324078431
2	WALKING_UPSTAIRS	28	TimeBodyAccelerometerMean-Y	-0.0279443943478431
2	WALKING_UPSTAIRS	29	TimeBodyAccelerometerMean-Y	-0.0299465312326531
2	WALKING_UPSTAIRS	30	TimeBodyAccelerometerMean-Y	-0.0253311698786154
2	WALKING_UPSTAIRS	2	TimeBodyAccelerometerMean-Y	-0.0214121132045833
2	WALKING_UPSTAIRS	4	TimeBodyAccelerometerMean-Y	-0.0319804295729615
2	WALKING_UPSTAIRS	9	TimeBodyAccelerometerMean-Y	-0.0195101099975714
2	WALKING_UPSTAIRS	10	TimeBodyAccelerometerMean-Y	-0.0143854920340426
2	WALKING_UPSTAIRS	12	TimeBodyAccelerometerMean-Y	-0.0263574903403846
2	WALKING_UPSTAIRS	13	TimeBodyAccelerometerMean-Y	-0.0277392253910909
2	WALKING_UPSTAIRS	18	TimeBodyAccelerometerMean-Y	-0.0222060684378914
2	WALKING_UPSTAIRS	20	TimeBodyAccelerometerMean-Y	-0.0282258047588235
2	WALKING_UPSTAIRS	24	TimeBodyAccelerometerMean-Y	-0.0251979434569492
3	WALKING_DOWNSTAIRS	1	TimeBodyAccelerometerMean-Y	-0.00991850461020408
3	WALKING_DOWNSTAIRS	3	TimeBodyAccelerometerMean-Y	-0.0193554079328571
3	WALKING_DOWNSTAIRS	5	TimeBodyAccelerometerMean-Y	-0.00850107533191489
3	WALKING_DOWNSTAIRS	6	TimeBodyAccelerometerMean-Y	-0.019536840063125
3	WALKING_DOWNSTAIRS	7	TimeBodyAccelerometerMean-Y	-0.0166332372978723
3	WALKING_DOWNSTAIRS	8	TimeBodyAccelerometerMean-Y	-0.0211058674973684
3	WALKING_DOWNSTAIRS	11	TimeBodyAccelerometerMean-Y	-0.0178097721219565
3	WALKING_DOWNSTAIRS	14	TimeBodyAccelerometerMean-Y	-0.0200141413657778
3	WALKING_DOWNSTAIRS	15	TimeBodyAccelerometerMean-Y	-0.00563047804309524
3	WALKING_DOWNSTAIRS	16	TimeBodyAccelerometerMean-Y	-0.0183898583787234
3	WALKING_DOWNSTAIRS	17	TimeBodyAccelerometerMean-Y	-0.0167359404347826
3	WALKING_DOWNSTAIRS	19	TimeBodyAccelerometerMean-Y	-0.0145942275069487
3	WALKING_DOWNSTAIRS	21	TimeBodyAccelerometerMean-Y	-0.0173195390157778
3	WALKING_DOWNSTAIRS	22	TimeBodyAccelerometerMean-Y	-0.0197999371686389
3	WALKING_DOWNSTAIRS	23	TimeBodyAccelerometerMean-Y	-0.0162111457238889
3	WALKING_DOWNSTAIRS	25	TimeBodyAccelerometerMean-Y	-0.0210170522987931
3	WALKING_DOWNSTAIRS	26	TimeBodyAccelerometerMean-Y	-0.01262580966778
3	WALKING_DOWNSTAIRS	27	TimeBodyAccelerometerMean-Y	-0.0135564467159091
3	WALKING_DOWNSTAIRS	28	TimeBodyAccelerometerMean-Y	-0.0220230465913044
3	WALKING_DOWNSTAIRS	29	TimeBodyAccelerometerMean-Y	-0.01494121505625
3	WALKING_DOWNSTAIRS	30	TimeBodyAccelerometerMean-Y	-0.0174383900204839
3	WALKING_DOWNSTAIRS	2	TimeBodyAccelerometerMean-Y	-0.0226614158361702
3	WALKING_DOWNSTAIRS	4	TimeBodyAccelerometerMean-Y	-0.00980200850666667
3	WALKING_DOWNSTAIRS	9	TimeBodyAccelerometerMean-Y	-0.0203994269075476
3	WALKING_DOWNSTAIRS	10	TimeBodyAccelerometerMean-Y	-0.0200050770710526
3	WALKING_DOWNSTAIRS	12	TimeBodyAccelerometerMean-Y	-0.018084266865793
3	WALKING_DOWNSTAIRS	13	TimeBodyAccelerometerMean-Y	-0.0143723839108511
3	WALKING_DOWNSTAIRS	18	TimeBodyAccelerometerMean-Y	-0.0168666920221818
3	WALKING_DOWNSTAIRS	20	TimeBodyAccelerometerMean-Y	-0.00964120773155556
3	WALKING_DOWNSTAIRS	24	TimeBodyAccelerometerMean-Y	-0.0145730348310909
4	SITTING	1	TimeBodyAccelerometerMean-Y	-0.00130828765170213
4	SITTING	3	TimeBodyAccelerometerMean-Y	-0.00350299841730769
4	SITTING	5	TimeBodyAccelerometerMean-Y	-0.00990083527045455
4	SITTING	6	TimeBodyAccelerometerMean-Y	-0.0145911615290909
4	SITTING	7	TimeBodyAccelerometerMean-Y	-0.01461097580375
4	SITTING	8	TimeBodyAccelerometerMean-Y	-0.00672550621304348
4	SITTING	11	TimeBodyAccelerometerMean-Y	-0.0149195616754717
4	SITTING	14	TimeBodyAccelerometerMean-Y	-0.00870565463888888
4	SITTING	15	TimeBodyAccelerometerMean-Y	-0.0117188472271186
4	SITTING	16	TimeBodyAccelerometerMean-Y	-0.0102497939956522
4	SITTING	17	TimeBodyAccelerometerMean-Y	-0.014156274084375
4	SITTING	19	TimeBodyAccelerometerMean-Y	-0.016739260030137
4	SITTING	21	TimeBodyAccelerometerMean-Y	-0.0144009705494118
4	SITTING	22	TimeBodyAccelerometerMean-Y	-0.0123468446419355
4	SITTING	23	TimeBodyAccelerometerMean-Y	-0.0133945015676471
4	SITTING	25	TimeBodyAccelerometerMean-Y	-0.0147696808030769
4	SITTING	26	TimeBodyAccelerometerMean-Y	-0.00713364541358974
4	SITTING	27	TimeBodyAccelerometerMean-Y	-0.0155269799285714
4	SITTING	28	TimeBodyAccelerometerMean-Y	-0.0185404441258333
4	SITTING	29	TimeBodyAccelerometerMean-Y	-0.016630680375
4	SITTING	30	TimeBodyAccelerometerMean-Y	-0.00804731295322581
4	SITTING	2	TimeBodyAccelerometerMean-Y	-0.0156879937282609
4	SITTING	4	TimeBodyAccelerometerMean-Y	-0.007163065158
4	SITTING	9	TimeBodyAccelerometerMean-Y	-0.02701677698
4	SITTING	10	TimeBodyAccelerometerMean-Y	-0.015042681852037
4	SITTING	12	TimeBodyAccelerometerMean-Y	-0.0157892988523529
4	SITTING	13	TimeBodyAccelerometerMean-Y	-0.00587732936326531
4	SITTING	18	TimeBodyAccelerometerMean-Y	-0.0128691279736842
4	SITTING	20	TimeBodyAccelerometerMean-Y	-0.0147229305131818
4	SITTING	24	TimeBodyAccelerometerMean-Y	-0.0131255097938235
5	STANDING	1	TimeBodyAccelerometerMean-Y	-0.0161375901037736
5	STANDING	3	TimeBodyAccelerometerMean-Y	-0.0143376555065574
5	STANDING	5	TimeBodyAccelerometerMean-Y	-0.00700418554517857
5	STANDING	6	TimeBodyAccelerometerMean-Y	-0.0181236327175439
5	STANDING	7	TimeBodyAccelerometerMean-Y	-0.0145740341037736
5	STANDING	8	TimeBodyAccelerometerMean-Y	-0.0148113067148148
5	STANDING	11	TimeBodyAccelerometerMean-Y	-0.0171990886595745
5	STANDING	14	TimeBodyAccelerometerMean-Y	-0.01520781344
5	STANDING	15	TimeBodyAccelerometerMean-Y	-0.0183516360396226
5	STANDING	16	TimeBodyAccelerometerMean-Y	-0.0165999672935897
5	STANDING	17	TimeBodyAccelerometerMean-Y	-0.0174120064169231
5	STANDING	19	TimeBodyAccelerometerMean-Y	-0.0154244056945206
5	STANDING	21	TimeBodyAccelerometerMean-Y	-0.0167084730205618
5	STANDING	22	TimeBodyAccelerometerMean-Y	-0.0158563207496825
5	STANDING	23	TimeBodyAccelerometerMean-Y	-0.0177475547867647
5	STANDING	25	TimeBodyAccelerometerMean-Y	-0.0163569730274324
5	STANDING	26	TimeBodyAccelerometerMean-Y	-0.0166608306652703
5	STANDING	27	TimeBodyAccelerometerMean-Y	-0.016593236445
5	STANDING	28	TimeBodyAccelerometerMean-Y	-0.0172635124672152
5	STANDING	29	TimeBodyAccelerometerMean-Y	-0.0172605869061538
5	STANDING	30	TimeBodyAccelerometerMean-Y	-0.0170163887813559
5	STANDING	2	TimeBodyAccelerometerMean-Y	-0.0184208270166667
5	STANDING	4	TimeBodyAccelerometerMean-Y	-0.00948911098553571
5	STANDING	9	TimeBodyAccelerometerMean-Y	-0.0200454954022222
5	STANDING	10	TimeBodyAccelerometerMean-Y	-0.0155418603409091
5	STANDING	12	TimeBodyAccelerometerMean-Y	-0.0169002543196721
5	STANDING	13	TimeBodyAccelerometerMean-Y	-0.0167891993964912
5	STANDING	18	TimeBodyAccelerometerMean-Y	-0.0166353518150685
5	STANDING	20	TimeBodyAccelerometerMean-Y	-0.0180695049161644
5	STANDING	24	TimeBodyAccelerometerMean-Y	-0.0144785340348986
6	LAYING	1	TimeBodyAccelerometerMean-Y	-0.0405139534294
6	LAYING	3	TimeBodyAccelerometerMean-Y	-0.0189556785048387
6	LAYING	5	TimeBodyAccelerometerMean-Y	-0.0183042123269231
6	LAYING	6	TimeBodyAccelerometerMean-Y	-0.0102529170561404
6	LAYING	7	TimeBodyAccelerometerMean-Y	-0.0204411516884615
6	LAYING	8	TimeBodyAccelerometerMean-Y	-0.0212281733881481
6	LAYING	11	TimeBodyAccelerometerMean-Y	-0.0176598052315789
6	LAYING	14	TimeBodyAccelerometerMean-Y	-0.0113424652490196
6	LAYING	15	TimeBodyAccelerometerMean-Y	-0.0166296542054167
6	LAYING	16	TimeBodyAccelerometerMean-Y	-0.0166103510562857
6	LAYING	17	TimeBodyAccelerometerMean-Y	-0.0168462006729577
6	LAYING	19	TimeBodyAccelerometerMean-Y	-0.0171426864421687
6	LAYING	21	TimeBodyAccelerometerMean-Y	-0.0184233048415556
6	LAYING	22	TimeBodyAccelerometerMean-Y	-0.0142629864502778
6	LAYING	23	TimeBodyAccelerometerMean-Y	-0.0216553835833333
6	LAYING	25	TimeBodyAccelerometerMean-Y	-0.0188943663671233
6	LAYING	26	TimeBodyAccelerometerMean-Y	-0.0191895728026316
6	LAYING	27	TimeBodyAccelerometerMean-Y	-0.0179867611216216
6	LAYING	28	TimeBodyAccelerometerMean-Y	-0.0167537858225
6	LAYING	29	TimeBodyAccelerometerMean-Y	-0.0171965484202899
6	LAYING	30	TimeBodyAccelerometerMean-Y	-0.0194494098614286
6	LAYING	2	TimeBodyAccelerometerMean-Y	-0.0181587397583333
6	LAYING	4	TimeBodyAccelerometerMean-Y	-0.0150031841055556
6	LAYING	9	TimeBodyAccelerometerMean-Y	-0.020526821662
6	LAYING	10	TimeBodyAccelerometerMean-Y	-0.024294484137931
6	LAYING	12	TimeBodyAccelerometerMean-Y	-0.0175203917146667
6	LAYING	13	TimeBodyAccelerometerMean-Y	-0.020440454366129
6	LAYING	18	TimeBodyAccelerometerMean-Y	-0.0173937684615385
6	LAYING	20	TimeBodyAccelerometerMean-Y	-0.0144406281132353
6	LAYING	24	TimeBodyAccelerometerMean-Y	-0.0173555210111111
1	WALKING	1	TimeBodyAccelerometerMean-Z	-0.111148103547368
